ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,,,4.3,4.5,4.6,4.6,4.5,4.5,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,,,3.1,3.2,3.3,3.5,3.7,3.8,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,,,2.3,2.3,2.4,2.4,2.4,2.5,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,,,2.6,2.6,2.7,2.7,2.7,2.7,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,,,492150,486002,478681,480011,478149,473340,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,,,509629,508380,506610,502352,498960,496959,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,,,489932,501459,508398,512597,516308,518729,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,,,471340,466117,461270,479354,501230,514760,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,,,549214,534467,506754,513740,548567,566556,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,,,602390,593919,568343,566319,598440,621214,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,,,596681,601158,596529,597492,616382,628192,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,,,566557,579948,585183,588236,597769,607926,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,,,505155,510651,520894,533559,553889,571730,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,,,527170,527499,517361,506422,502644,504471,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,,,478764,484123,496522,508650,517558,521092,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,,,495816,497514,489548,479781,471805,470276,
